# ID,Mahalanobis,Angle-based Outlier Detector (ABOD),Cluster-based Local Outlier Factor (CBLOF),Feature Bagging,Histogram-base Outlier Detection (HBOS),Isolation Forest,K Nearest Neighbors (KNN),Average KNN,Local Outlier Factor
peptide_198,0,0,0,0,0,0,0,0,0
peptide_199,0,0,0,0,0,0,0,0,0
peptide_200,0,0,0,0,0,0,0,0,0
peptide_201,0,0,0,0,0,0,0,0,0
peptide_202,0,0,0,0,0,0,0,0,0
peptide_203,0,0,0,0,0,0,0,0,0
peptide_204,0,0,0,0,0,0,0,0,0
peptide_205,0,0,0,0,0,0,0,0,0
peptide_206,0,0,0,0,0,0,0,0,0
peptide_207,0,0,0,0,0,0,0,0,0
peptide_208,0,0,0,0,0,0,0,0,0
peptide_209,0,0,0,0,0,0,0,0,0
peptide_210,0,0,0,0,0,0,0,0,0
peptide_211,0,1,1,1,1,1,1,0,0
peptide_212,0,0,1,0,0,0,0,0,0
peptide_213,0,0,0,0,0,0,0,0,0
peptide_214,0,0,0,0,0,0,0,0,0
peptide_215,0,0,0,0,0,0,0,0,0
peptide_216,0,0,0,0,0,0,0,0,0
peptide_217,0,0,0,0,0,0,0,0,0
peptide_218,0,1,1,1,0,1,1,1,1
peptide_219,0,0,0,0,0,0,0,0,0
peptide_220,0,0,0,0,0,0,0,0,0
peptide_221,0,0,0,0,0,0,0,0,0
peptide_222,0,0,0,0,0,0,0,0,0
peptide_223,0,0,0,0,0,0,0,0,0
peptide_224,0,0,0,0,0,0,0,0,0
peptide_225,0,0,0,0,0,0,0,0,0
peptide_226,0,0,0,0,0,0,0,0,0
peptide_227,0,0,0,0,0,0,0,0,0
peptide_228,0,0,0,0,0,0,0,0,0
peptide_229,0,0,0,0,0,0,0,0,0
peptide_230,0,0,0,0,0,0,0,0,0
peptide_231,0,0,0,0,0,0,0,0,0
peptide_232,0,0,0,0,0,0,0,0,0
peptide_233,0,0,0,0,0,0,0,0,0
peptide_234,0,0,0,0,0,0,0,0,0
peptide_235,0,0,0,1,0,0,0,0,0
peptide_236,0,0,0,0,0,0,0,0,0
peptide_237,0,0,0,0,0,0,0,0,0
peptide_238,0,0,0,0,0,0,0,0,0
peptide_239,0,0,0,0,0,0,0,0,0
peptide_240,0,0,0,0,0,0,0,0,0
peptide_241,0,0,0,0,0,0,0,0,0
peptide_242,0,0,0,0,0,0,0,0,0
peptide_243,0,0,0,0,0,0,0,0,0
peptide_244,0,0,0,0,0,0,0,0,0
peptide_245,0,0,0,0,0,0,0,0,0
peptide_246,0,1,0,0,0,0,0,0,0
peptide_247,0,0,0,0,0,0,0,0,0
peptide_248,0,0,0,0,0,0,0,0,0
peptide_249,0,0,0,0,0,0,0,0,0
peptide_250,0,0,0,0,0,0,0,0,0
peptide_251,0,0,0,0,0,0,0,0,0
peptide_252,0,0,0,0,0,0,0,0,0
peptide_253,0,0,0,0,0,0,0,0,0
peptide_254,0,0,0,0,0,0,0,0,0
peptide_255,0,0,0,0,0,0,0,0,0
peptide_256,0,0,0,0,0,0,0,0,0
peptide_257,0,0,0,0,0,0,0,0,0
peptide_258,0,0,0,0,0,0,0,0,0
peptide_259,0,0,0,0,0,0,0,0,0
peptide_260,0,0,0,0,0,0,0,0,0
peptide_261,0,1,0,0,0,0,0,0,0
peptide_262,0,0,0,0,0,0,0,0,0
peptide_263,0,0,0,0,0,0,0,0,0
peptide_264,0,0,0,0,0,0,0,0,0
peptide_265,0,0,0,0,0,0,0,0,0
peptide_266,0,0,0,0,0,0,0,0,0
peptide_267,0,0,0,0,0,0,0,0,0
peptide_268,0,0,0,0,0,0,0,0,0
peptide_269,0,0,0,0,0,0,0,0,0
peptide_270,0,0,0,0,0,0,0,0,0
peptide_271,0,0,0,0,0,0,0,0,0
peptide_272,0,0,0,0,0,0,0,0,0
peptide_273,0,0,0,0,0,0,0,0,0
peptide_274,0,0,0,0,0,0,0,0,0
peptide_275,0,0,0,0,0,0,0,0,0
peptide_276,0,0,0,0,0,0,0,0,0
peptide_277,0,0,0,0,0,0,0,0,0
peptide_278,0,0,0,0,0,0,0,0,0
peptide_279,0,0,0,0,0,0,0,0,0
peptide_280,0,0,0,0,0,0,0,0,0
peptide_281,0,0,0,0,0,0,0,0,0
peptide_282,0,0,0,0,0,0,0,0,0
peptide_283,0,0,0,0,0,0,0,0,0
peptide_284,0,0,0,0,0,0,0,0,0
peptide_285,0,0,0,0,0,0,0,0,0
peptide_286,0,0,0,0,0,0,0,0,0
peptide_287,0,0,0,0,0,0,0,0,0
peptide_288,0,0,0,0,0,0,0,0,0
peptide_289,0,0,0,0,0,0,0,0,0
peptide_290,0,0,0,0,0,0,0,0,0
peptide_291,0,0,0,0,0,0,0,0,0
peptide_292,0,0,0,0,0,0,0,0,0
peptide_293,0,0,0,0,0,0,0,0,0
peptide_294,0,0,0,0,0,0,0,0,0
peptide_295,1,0,0,0,0,0,0,0,0
peptide_296,0,0,0,0,0,0,0,0,0
peptide_297,0,0,0,0,0,0,0,0,0
peptide_298,0,0,0,0,0,0,0,0,0
peptide_299,0,0,0,0,0,0,0,0,0
peptide_300,0,0,0,0,0,0,0,0,0
peptide_301,0,0,0,0,0,0,0,0,0
peptide_302,0,1,0,0,0,0,0,0,0
peptide_303,0,0,0,0,0,0,0,0,0
peptide_304,0,0,0,0,0,0,0,0,0
peptide_305,1,0,0,0,0,0,0,0,0
peptide_306,1,0,0,0,0,0,0,0,0
peptide_307,0,0,0,0,0,0,0,0,0
peptide_308,0,0,0,0,0,0,0,0,0
peptide_309,0,0,0,0,0,0,0,0,0
peptide_310,0,0,0,0,0,0,0,0,0
peptide_311,0,0,0,0,0,0,0,0,0
peptide_312,0,0,0,0,0,0,0,0,0
peptide_313,0,0,0,0,0,0,0,0,1
peptide_314,0,0,0,0,0,0,0,0,0
peptide_315,0,0,0,0,0,0,0,0,1
peptide_316,0,0,0,0,0,0,0,0,0
peptide_317,0,0,0,0,0,0,0,0,0
peptide_318,1,0,0,0,0,0,0,0,0
peptide_319,0,0,0,0,0,0,0,0,0
peptide_320,0,0,0,0,0,0,0,0,1
peptide_321,0,0,0,0,0,0,0,0,0
peptide_322,0,0,0,0,0,0,0,0,0
peptide_323,0,0,0,0,0,0,0,0,0
peptide_324,0,1,0,0,0,0,0,0,1
peptide_325,0,0,0,0,0,0,0,0,0
